object_id,x,y
T11_central_incision_drainage_1,0.541,0.465
T11_central_incision_drainage_1,0.542,0.465
T11_central_incision_drainage_1,0.542,0.464
T11_central_incision_drainage_1,0.542,0.463
T11_central_incision_drainage_1,0.542,0.425
T11_central_incision_drainage_1,0.542,0.424
T11_central_incision_drainage_1,0.542,0.423
T11_central_incision_drainage_1,0.541,0.423
T11_central_incision_drainage_1,0.54,0.423
T11_central_incision_drainage_1,0.54,0.422
T11_central_incision_drainage_1,0.46,0.422
T11_central_incision_drainage_1,0.46,0.423
T11_central_incision_drainage_1,0.459,0.423
T11_central_incision_drainage_1,0.458,0.423
T11_central_incision_drainage_1,0.458,0.424
T11_central_incision_drainage_1,0.458,0.425
T12_central_incision_drainage_1,0.458,0.385
T12_central_incision_drainage_1,0.458,0.425
T12_central_incision_drainage_1,0.458,0.426
T12_central_incision_drainage_1,0.458,0.427
T12_central_incision_drainage_1,0.459,0.427
T12_central_incision_drainage_1,0.46,0.427
T12_central_incision_drainage_1,0.46,0.428
T12_central_incision_drainage_1,0.54,0.428
T12_central_incision_drainage_1,0.54,0.427
T12_central_incision_drainage_1,0.541,0.427
T12_central_incision_drainage_1,0.542,0.427
T12_central_incision_drainage_1,0.542,0.426
T12_central_incision_drainage_1,0.542,0.425
T12_central_incision_drainage_1,0.542,0.385
T12_central_incision_drainage_1,0.542,0.384
T12_central_incision_drainage_1,0.542,0.383
T12_central_incision_drainage_1,0.541,0.383
T12_central_incision_drainage_1,0.54,0.383
T12_central_incision_drainage_1,0.54,0.382
T12_central_incision_drainage_1,0.46,0.382
T12_central_incision_drainage_1,0.46,0.383
T12_central_incision_drainage_1,0.459,0.383
T12_central_incision_drainage_1,0.458,0.383
T12_central_incision_drainage_1,0.458,0.384
T12_central_incision_drainage_1,0.458,0.385
T1_central_incision_drainage_1,0.458,0.738
T1_central_incision_drainage_1,0.458,0.756
T1_central_incision_drainage_1,0.458,0.757
T1_central_incision_drainage_1,0.458,0.758
T1_central_incision_drainage_1,0.459,0.758
T1_central_incision_drainage_1,0.46,0.758
T1_central_incision_drainage_1,0.54,0.758
T1_central_incision_drainage_1,0.541,0.758
T1_central_incision_drainage_1,0.542,0.758
T1_central_incision_drainage_1,0.542,0.757
T1_central_incision_drainage_1,0.542,0.756
T1_central_incision_drainage_1,0.542,0.738
T1_central_incision_drainage_1,0.542,0.737
T1_central_incision_drainage_1,0.542,0.736
T1_central_incision_drainage_1,0.541,0.736
T1_central_incision_drainage_1,0.54,0.736
T1_central_incision_drainage_1,0.46,0.736
T1_central_incision_drainage_1,0.459,0.736
T1_central_incision_drainage_1,0.458,0.736
T1_central_incision_drainage_1,0.458,0.737
T1_central_incision_drainage_1,0.458,0.738
T2_central_incision_drainage_1,0.458,0.714
T2_central_incision_drainage_1,0.458,0.732
T2_central_incision_drainage_1,0.458,0.733
T2_central_incision_drainage_1,0.458,0.734
T2_central_incision_drainage_1,0.459,0.734
T2_central_incision_drainage_1,0.46,0.734
T2_central_incision_drainage_1,0.54,0.734
T2_central_incision_drainage_1,0.541,0.734
T2_central_incision_drainage_1,0.542,0.734
T2_central_incision_drainage_1,0.542,0.733
T2_central_incision_drainage_1,0.542,0.732
T2_central_incision_drainage_1,0.542,0.714
T2_central_incision_drainage_1,0.542,0.713
T2_central_incision_drainage_1,0.542,0.712
T2_central_incision_drainage_1,0.541,0.712
T2_central_incision_drainage_1,0.54,0.712
T2_central_incision_drainage_1,0.46,0.712
T2_central_incision_drainage_1,0.459,0.712
T2_central_incision_drainage_1,0.458,0.712
T2_central_incision_drainage_1,0.458,0.713
T2_central_incision_drainage_1,0.458,0.714
T3_central_incision_drainage_1,0.458,0.689
T3_central_incision_drainage_1,0.458,0.71
T3_central_incision_drainage_1,0.458,0.711
T3_central_incision_drainage_1,0.458,0.712
T3_central_incision_drainage_1,0.459,0.712
T3_central_incision_drainage_1,0.46,0.712
T3_central_incision_drainage_1,0.54,0.712
T3_central_incision_drainage_1,0.541,0.712
T3_central_incision_drainage_1,0.542,0.712
T3_central_incision_drainage_1,0.542,0.711
T3_central_incision_drainage_1,0.542,0.71
T3_central_incision_drainage_1,0.542,0.689
T3_central_incision_drainage_1,0.542,0.688
T3_central_incision_drainage_1,0.542,0.687
T3_central_incision_drainage_1,0.541,0.687
T3_central_incision_drainage_1,0.54,0.687
T3_central_incision_drainage_1,0.54,0.686
T3_central_incision_drainage_1,0.46,0.686
T3_central_incision_drainage_1,0.46,0.687
T3_central_incision_drainage_1,0.459,0.687
T3_central_incision_drainage_1,0.458,0.687
T3_central_incision_drainage_1,0.458,0.688
T3_central_incision_drainage_1,0.458,0.689
T4_central_incision_drainage_1,0.458,0.658
T4_central_incision_drainage_1,0.458,0.682
T4_central_incision_drainage_1,0.458,0.683
T4_central_incision_drainage_1,0.458,0.684
T4_central_incision_drainage_1,0.459,0.684
T4_central_incision_drainage_1,0.46,0.684
T4_central_incision_drainage_1,0.54,0.684
T4_central_incision_drainage_1,0.541,0.684
T4_central_incision_drainage_1,0.542,0.684
T4_central_incision_drainage_1,0.542,0.683
T4_central_incision_drainage_1,0.542,0.682
T4_central_incision_drainage_1,0.542,0.658
T4_central_incision_drainage_1,0.542,0.657
T4_central_incision_drainage_1,0.542,0.656
T4_central_incision_drainage_1,0.541,0.656
T4_central_incision_drainage_1,0.54,0.656
T4_central_incision_drainage_1,0.46,0.656
T4_central_incision_drainage_1,0.459,0.656
T4_central_incision_drainage_1,0.458,0.656
T4_central_incision_drainage_1,0.458,0.657
T4_central_incision_drainage_1,0.458,0.658
T5_central_incision_drainage_1,0.458,0.628
T5_central_incision_drainage_1,0.458,0.657
T5_central_incision_drainage_1,0.458,0.658
T5_central_incision_drainage_1,0.458,0.659
T5_central_incision_drainage_1,0.459,0.659
T5_central_incision_drainage_1,0.46,0.659
T5_central_incision_drainage_1,0.54,0.659
T5_central_incision_drainage_1,0.541,0.659
T5_central_incision_drainage_1,0.542,0.659
T5_central_incision_drainage_1,0.542,0.658
T5_central_incision_drainage_1,0.542,0.657
T5_central_incision_drainage_1,0.542,0.628
T5_central_incision_drainage_1,0.542,0.627
T5_central_incision_drainage_1,0.542,0.626
T5_central_incision_drainage_1,0.541,0.626
T5_central_incision_drainage_1,0.54,0.626
T5_central_incision_drainage_1,0.46,0.626
T5_central_incision_drainage_1,0.459,0.626
T5_central_incision_drainage_1,0.458,0.626
T5_central_incision_drainage_1,0.458,0.627
T5_central_incision_drainage_1,0.458,0.628
T6_central_incision_drainage_1,0.458,0.595
T6_central_incision_drainage_1,0.458,0.624
T6_central_incision_drainage_1,0.458,0.625
T6_central_incision_drainage_1,0.458,0.626
T6_central_incision_drainage_1,0.459,0.626
T6_central_incision_drainage_1,0.46,0.626
T6_central_incision_drainage_1,0.54,0.626
T6_central_incision_drainage_1,0.541,0.626
T6_central_incision_drainage_1,0.542,0.626
T6_central_incision_drainage_1,0.542,0.625
T6_central_incision_drainage_1,0.542,0.624
T6_central_incision_drainage_1,0.542,0.595
T6_central_incision_drainage_1,0.542,0.594
T6_central_incision_drainage_1,0.542,0.593
T6_central_incision_drainage_1,0.541,0.593
T6_central_incision_drainage_1,0.54,0.593
T6_central_incision_drainage_1,0.46,0.593
T6_central_incision_drainage_1,0.459,0.593
T6_central_incision_drainage_1,0.458,0.593
T6_central_incision_drainage_1,0.458,0.594
T6_central_incision_drainage_1,0.458,0.595
T7_central_incision_drainage_1,0.458,0.566
T7_central_incision_drainage_1,0.458,0.591
T7_central_incision_drainage_1,0.458,0.592
T7_central_incision_drainage_1,0.458,0.593
T7_central_incision_drainage_1,0.459,0.593
T7_central_incision_drainage_1,0.46,0.593
T7_central_incision_drainage_1,0.54,0.593
T7_central_incision_drainage_1,0.541,0.593
T7_central_incision_drainage_1,0.542,0.593
T7_central_incision_drainage_1,0.542,0.592
